Fuel type,license type,driving license,Gear type,Glass,Motor power,Payment method,Previous owners,Number Of Passengers,magnesium_rims,sunroof,Name,Model,Price,scaled_motor_power,normalized_price,brand,type,Alfa Romeo,Audi,BMW,Bus,Cadillac,Chevrolet,Citroen,DAF,Dacia,Daewoo,Daihatsu,Dodge,Fiat,Ford,GMC,Honda,Hyundai,Isuzu,Iveco,Jaguar,Jeep,Kia,Land Rover,Mazda,Mercedes,Mitsubishi,Motorcycle,Nissan,Opel,Peugeot,Renault,Rover,Seat,Skoda,SsangYong,Subaru,Suzuki,Toyota,Truck,Volkswagen,Volvo
1,5,1,3,1,1400.0,0,1,5,20,0,سكودا اوكتافيا,2014,98000.0,0.375,0.6378934616726689,Skoda,اوكتافيا,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,5,1,3,1,1600.0,1,2,5,0,0,هونداي اكسنت,2013,50000.0,0.45833333333333337,0.3218732100415435,Hyundai,اكسنت,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,1,1,1,1,2500.0,0,2,9,20,20,هونداي توسان,2014,95000.0,0.8333333333333334,0.6181421959457236,Hyundai,توسان,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,5,1,1,1,1600.0,1,1,5,0,0,سكودا سوبيرب,2015,115000.0,0.45833333333333337,0.7498173007920258,Skoda,سوبيرب,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2,5,1,3,1,2000.0,1,2,5,20,0,كيا برايد,2015,60000.0,0.625,0.3877107624646946,Kia,برايد,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,5,1,1,0,1600.0,0,1,5,20,0,شفروليه اوبترا,2008,27000.0,0.45833333333333337,0.17044683946829595,Chevrolet,اوبترا,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,5,1,1,1,1200.0,0,1,5,20,0,فولكسفاجن كرافيل,2003,24000.0,0.29166666666666663,0.1506955737413506,Volkswagen,كرافيل,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,5,1,3,1,1400.0,1,2,5,0,0,بيجو 2008,2008,35000.0,0.375,0.22311688140681685,Peugeot,2008,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1,3,1,3,1,2000.0,1,1,5,20,20,هونداي توسان,2017,86000.0,0.625,0.5588883987648876,Hyundai,توسان,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,5,1,3,1,1400.0,1,1,5,20,0,سيت ليون,2017,68000.0,0.375,0.4403808044032155,Seat,ليون,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
