لون السيارة,نوع الوقود,أصل السيارة,رخصة السيارة,نوع الجير,الزجاج,قوة الماتور,عداد السيارة,وسيلة الدفع,معروضة,أصحاب سابقون,عدد الركاب,الدفع,air_conditioner,central_closing,alarm_devise,CD_recorder,leather_upholstery,air_cushion,magnesium_rims,sunroof,التكميلي (جسم المركبة),طرف ثالث,المجموع,name_car,model_car,price_car
سكني,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,,نقدا فقط,للبيع فقط,يد ثانية,4+1,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1035.0,1138.0,2173.0,فولكسفاجن جولف,موديل سنة 2002,45000.0
أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1900,,إمكانية التقسيط,للبيع فقط,,4+1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,845.0,500.0,1345.0,كيا بيكانتو,موديل سنة 2020,55000.0
أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,78000,نقدا فقط,للبيع أو التبديل,1,5+1,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1340.0,1926.0,3265.0,فولكسفاجن كادي,موديل سنة 2016,102000.0
برتقالي,ديزل,عمومي,فلسطينية,عادي,يدوي,2500,800000,نقدا فقط,للبيع فقط,ثالثة,7+1,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1035.0,1000.0,2035.0,فولكسفاجن كرافيل,موديل سنة 2005,43000.0
أزرق,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,111000,إمكانية التقسيط,للبيع أو التبديل,اولى,4+1,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1690.0,5776.0,7466.0,كيا ماجنتيس,موديل سنة 2010,50000.0
أبيض عاجي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1900,000000000,نقدا فقط,للبيع فقط,4,8+1,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1340.0,1000.0,2340.0,كيا برايد,موديل سنة 2008,40000.0
أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,نقدا فقط,للبيع فقط,,4+1,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1340.0,1313.0,2653.0,اوبل اسكونا,موديل سنة 1982,11000.0
رمادي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1200,50,نقدا فقط,للبيع أو التبديل,0,4+1,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1340.0,1000.0,2340.0,,,
فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,64000,نقدا فقط,للبيع فقط,يدأولى,4+1,دفع أمامي,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1690.0,1751.0,3440.0,اوبل كورسا,موديل سنة 2017,48000.0
أبيض,ديزل,خصوصي,نمرة صفراء,اوتوماتيك,الكتروني,3200,٤٠٠٠٠٠,نقدا فقط,للبيع فقط,,6+1,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1340.0,1000.0,2340.0,فولكسفاجن كرافتر,موديل سنة 2011,48000.0
أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,60000,نقدا فقط,للبيع فقط,صفر,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1035.0,1000.0,2035.0,,,
أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,يدوي,1400,,إمكانية التقسيط,للبيع فقط,واحد,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1340.0,4288.0,5628.0,فولكسفاجن باسات,موديل سنة 2005,50000.0
بترولي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,3000,,إمكانية التقسيط,للبيع أو التبديل,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1340.0,2713.0,4053.0,هونداي i10,موديل سنة 2014,40000.0
رصاصي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,نقدا فقط,للبيع فقط,,4+1,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1690.0,2801.0,4490.0,فولكسفاجن كرافيل,موديل سنة 2006,60000.0
سكني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,116000,نقدا فقط,للبيع فقط,يد ثانيه,4+1,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1035.0,1000.0,2035.0,نيسان ألتيما,موديل سنة 2015,80000.0
ذهبي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,81000,نقدا فقط,للبيع فقط,يد ثالثة,4+1,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,670.0,500.0,1170.0,بيجو 206,موديل سنة 2008,18500.0
أبيض,ديزل,تجاري,فلسطينية,عادي,الكتروني,3000,11111111111111,إمكانية التقسيط,للبيع أو التبديل,0778244,,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,670.0,500.0,1170.0,ميتسوبيشي باجيرو,موديل سنة 2008,97000.0
رمادي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2000,,إمكانية التقسيط,للبيع أو التبديل,يد أولى,6+1,دفع أمامي,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1340.0,1050.0,2390.0,فولكسفاجن بولو,موديل سنة 2017,60000.0
أخضر,بنزين,تأجير,فلسطينية,اوتوماتيك,الكتروني,1400,,نقدا فقط,للبيع فقط,,4+1,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1340.0,1523.0,2863.0,,,
كحلي,هايبرد,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,79000,نقدا فقط,للبيع فقط,,4+1,دفع أمامي,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1340.0,1173.0,2513.0,فيات اونو,موديل سنة 1989,13000.0
أزرق سماوي,ديزل,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2000,70000,نقدا فقط,للبيع فقط,يداولى,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1035.0,1000.0,2035.0,سكودا اوكتافيا,موديل سنة 2011,80000.0
أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,57,نقدا فقط,للبيع فقط,يد أولى,6+1,,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1340.0,1000.0,2340.0,هونداي i30,موديل سنة 2012,55000.0
أسود ميتالك,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,130000,نقدا فقط,للبيع فقط,أولى,4+1,دفع أمامي,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1340.0,2275.0,3615.0,فولكسفاجن جولف,موديل سنة 2007,45000.0
خمري,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2000,,إمكانية التقسيط,للبيع أو التبديل,,6+1,دفع أمامي,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,670.0,500.0,1170.0,فورد فيستا,موديل سنة 2012,39000.0
أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,1600,,إمكانية التقسيط,للبيع أو التبديل,,4+1,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1340.0,1313.0,2653.0,كيا سورينتو,موديل سنة 2016,115000.0
بترولي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,,نقدا فقط,للتبديل فقط,,7+1,دفع أمامي,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1340.0,1856.0,3195.0,,,
رصاصي,ديزل,خصوصي,فلسطينية,نصف اوتوماتيك,الكتروني,2000,100000,إمكانية التقسيط,للبيع أو التبديل,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,935.0,1000.0,1935.0,فورد اسكورت,موديل سنة 1996,13000.0
أبيض,بنزين,خصوصي,نمرة صفراء,اوتوماتيك,الكتروني,2000,130000,نقدا فقط,للبيع فقط,سابعه,3+1,دفع أمامي,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1340.0,2013.0,3353.0,بي ام دبليو x3,موديل سنة 2005,70000.0
فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,124,نقدا فقط,للبيع فقط,يد ثانيه,,دفع أمامي,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1035.0,1000.0,2035.0,بي ام دبليو 320,موديل سنة 1987,43000.0
فضي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,١٢٣,إمكانية التقسيط,للبيع أو التبديل,1,6+1,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,517.0,500.0,1017.0,سيت ابيزا,موديل سنة 2012,45000.0
أسود ميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,77000,نقدا فقط,للبيع أو التبديل,0,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1340.0,1000.0,2340.0,سكودا رابيد,موديل سنة 2014,75000.0
بني,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,,نقدا فقط,للبيع فقط,,4+1,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1035.0,1000.0,2035.0,هونداي توسان,موديل سنة 2010,85000.0
عدة الوان,بنزين,تأجير,فلسطينية,اوتوماتيك,الكتروني,2000,١٠٥٠٠٠,نقدا فقط,للبيع فقط,يد أولئ أصحاب سابقون صفر,4+1,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1035.0,1000.0,2035.0,سكودا اوكتافيا,موديل سنة 2016,78000.0
أبيض,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,13000,نقدا فقط,للبيع أو التبديل,0,4+1,دفع أمامي,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,467.0,500.0,967.0,مرسيدس C200,موديل سنة 2010,75000.0
بترولي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1000,٣٠٠٠,نقدا فقط,للبيع فقط,٠,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1340.0,1313.0,2653.0,بيجو بارتنر,موديل سنة 2008,38000.0
أسود ميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,80000,نقدا فقط,للبيع أو التبديل,1,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1690.0,4026.0,5715.0,سيت أتيكا,موديل سنة 2021,164999.0
أسود,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1200,١٣٠٠٠٠,نقدا فقط,للبيع أو التبديل,اولى,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1340.0,1000.0,2340.0,بي ام دبليو 528,موديل سنة 2015,163000.0
أبيض,بنزين,خصوصي,فلسطينية,عادي,يدوي,1300,000000,نقدا فقط,للبيع فقط,,4+1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517.0,500.0,1017.0,سوبارو نملة,موديل سنة 1983,9000.0
أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,,إمكانية التقسيط,للبيع أو التبديل,4,4+1,,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1340.0,1226.0,2565.0,فورد ترانزيت,موديل سنة 1997,33000.0
سكني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1500,,نقدا فقط,للبيع فقط,,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1035.0,2048.0,3083.0,بيجو 308,موديل سنة 2011,38000.0
أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,000000,نقدا فقط,للبيع أو التبديل,3,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1340.0,1138.0,2478.0,كيا بيكانتو,موديل سنة 2016,48000.0
أخضر,بنزين,خصوصي,فلسطينية,عادي,الكتروني,800,160000,إمكانية التقسيط,للبيع أو التبديل,اولى,4+1,,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,670.0,500.0,1170.0,كيا سبورتاج,موديل سنة 2018,130000.0
أزرق سماوي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,,نقدا فقط,للبيع فقط,,4+1,دفع خلفي,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1340.0,1120.0,2460.0,ستروين C1,موديل سنة 2015,35000.0
أسود ميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2200,16000,إمكانية التقسيط,للبيع أو التبديل,0,5+1,دفع أمامي,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1035.0,1000.0,2035.0,هونداي اكسنت,موديل سنة 2012,54000.0
أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,90000,إمكانية التقسيط,للبيع أو التبديل,3,4+1,دفع أمامي,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1340.0,1978.0,3318.0,فولفو FL 12,موديل سنة 1997,50000.0
أبيض,بنزين,خصوصي,فلسطينية,عادي,يدوي,1300,,نقدا فقط,للبيع فقط,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1340.0,3851.0,5190.0,,,
رصاصي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,44000,نقدا فقط,للبيع أو التبديل,استيراد كوريا,4+1,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1340.0,1000.0,2340.0,مرسيدس 6 ابواب,موديل سنة 1992,9000.0
أسود ميتالك,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,73000,إمكانية التقسيط,للبيع أو التبديل,1,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1340.0,1978.0,3318.0,بي ام دبليو X5,موديل سنة 2014,275000.0
أحمر,بنزين,خصوصي,فلسطينية,عادي,الكتروني,2000,,إمكانية التقسيط,للبيع أو التبديل,,,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1340.0,1190.0,2530.0,مرسيدس 416,موديل سنة 2001,98000.0
بيج,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,,نقدا فقط,للبيع فقط,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1035.0,1488.0,2523.0,بي ام دبليو 318,موديل سنة 2005,50000.0
رصاصي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,140000,نقدا فقط,للبيع أو التبديل,يد ثانيه,4+1,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,845.0,500.0,1345.0,فولكسفاجن جولف,موديل سنة 2014,87000.0
فيراني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,,نقدا فقط,للبيع فقط,,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1340.0,1926.0,3265.0,مازدا 3,موديل سنة 2007,45000.0
رمادي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1800,128000,نقدا فقط,للبيع فقط,3,4+1,دفع خلفي,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1340.0,1000.0,2340.0,سكودا اوكتافيا,موديل سنة 2003,45000.0
أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,15000,إمكانية التقسيط,للبيع أو التبديل,0,4+1,دفع أمامي,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,670.0,500.0,1170.0,فولكسفاجن بورا,موديل سنة 2002,42000.0
كرميدي,ديزل,عمومي,فلسطينية,عادي,الكتروني,1600,,إمكانية التقسيط,للبيع أو التبديل,يد ثالثة,4+1,,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,670.0,500.0,1170.0,رينو فلوانس,موديل سنة 2012,60000.0
فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,48000,نقدا فقط,للبيع فقط,,,دفع رباعي 4x4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1690.0,1000.0,2690.0,سيت ليون,موديل سنة 2020,160000.0
أصفر,ديزل,عمومي,فلسطينية,عادي,الكتروني,1600,270000,نقدا فقط,للبيع فقط,1,4+1,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1340.0,2888.0,4228.0,مرسيدس سبرنتر,موديل سنة 2017,170000.0
أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,٦٦٠٠٠,نقدا فقط,للبيع فقط,يد اولى,4+1,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1340.0,1050.0,2390.0,اوبل كورسا,موديل سنة 2013,54000.0
أحمر,ديزل,خصوصي,فلسطينية,عادي,الكتروني,3100,280000,نقدا فقط,للبيع فقط,3,6+1,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1035.0,1050.0,2085.0,هونداي توسان,موديل سنة 2015,118000.0
أزرق سماوي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,120000,نقدا فقط,للبيع أو التبديل,2,4+1,دفع خلفي,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,670.0,500.0,1170.0,بيجو بارتنر,موديل سنة 2013,58000.0
أسود ميتالك,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,,إمكانية التقسيط,للبيع أو التبديل,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1035.0,1436.0,2470.0,سيت ليون,موديل سنة 2019,128000.0
أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1900,,إمكانية التقسيط,للبيع أو التبديل,,4+1,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1035.0,1000.0,2035.0,فيات دوبلو,موديل سنة 2011,62000.0
أخضر,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,202000,نقدا فقط,للبيع فقط,رابعة,4+1,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1340.0,1000.0,2340.0,فورد فيستا,موديل سنة 2018,36000.0
أبيض,ديزل,تجاري,فلسطينية,عادي,الكتروني,3000,,إمكانية التقسيط,للبيع فقط,0,2+1,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1035.0,1000.0,2035.0,دراجة نارية Sym wolf 250cc,موديل سنة 2015,15000.0
ذهبي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,35000,نقدا فقط,للبيع فقط,1,6+1,دفع رباعي 4x4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1340.0,1000.0,2340.0,هونداي الانترا,موديل سنة 1999,22000.0
فيراني,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,******,نقدا فقط,للبيع فقط,يد اولى,4+1,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1035.0,1000.0,2035.0,اوبل كورسا,موديل سنة 2015,47500.0
فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,124000,نقدا فقط,للبيع فقط,يد ثالثة,4+1,دفع أمامي,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1690.0,1313.0,3003.0,هونداي توسان,موديل سنة 2009,78000.0
أزرق,بنزين,خصوصي,فلسطينية,عادي,يدوي,1600,,إمكانية التقسيط,للبيع أو التبديل,,4+1,,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1340.0,1000.0,2340.0,هونداي سوناتا,موديل سنة 2015,103000.0
أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,34000,نقدا فقط,للبيع فقط,,4+1,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1340.0,1926.0,3265.0,فولكسفاجن كادي,موديل سنة 2015,100000.0
زيتي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,200000,نقدا فقط,للبيع أو التبديل,,4+1,دفع أمامي,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1340.0,1646.0,2985.0,فورد ترانزيت,موديل سنة 2000,45000.0
أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,530000,إمكانية التقسيط,للبيع أو التبديل,.,4+1,,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,670.0,500.0,1170.0,فولكسفاجن بولو,موديل سنة 2020,105000.0
كحلي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,٠٠٠٠٠,إمكانية التقسيط,للبيع فقط,٣,4+1,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1690.0,1000.0,2690.0,هونداي توسان,موديل سنة 2018,127500.0
زيتي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,نقدا فقط,للبيع فقط,٢,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,935.0,1000.0,1935.0,كيا سول,موديل سنة 2011,55000.0
سكني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,57000,إمكانية التقسيط,للبيع فقط,يد اولى,4+1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1035.0,1000.0,2035.0,كيا سورينتو,موديل سنة 2015,152000.0
كحلي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2700,300000,إمكانية التقسيط,للبيع أو التبديل,يد ثانية,6+1,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,935.0,1000.0,1935.0,كيا مورننغ,موديل سنة 2014,40000.0
فضي,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1900,,نقدا فقط,للبيع فقط,,4+1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1690.0,1000.0,2690.0,كيا برايد,موديل سنة 2015,65000.0
عدة الوان,ديزل,تجاري,فلسطينية,عادي,الكتروني,2000,,نقدا فقط,للبيع فقط,,6+1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1340.0,1000.0,2340.0,كيا اوبتيما,موديل سنة 2013,67000.0
فيراني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,100000,نقدا فقط,للبيع فقط,1,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1340.0,1226.0,2565.0,دايو لانوس,موديل سنة 1999,18000.0
أزرق,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,,نقدا فقط,للبيع فقط,,4+1,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1035.0,1313.0,2348.0,فولكسفاجن جولف,موديل سنة 2017,155000.0
أبيض,ديزل,تجاري,فلسطينية,عادي,الكتروني,2500,,نقدا فقط,للبيع فقط,,2+1,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1340.0,1173.0,2513.0,اوبل كورسا,موديل سنة 2015,54000.0
أحمر,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1000,47000,إمكانية التقسيط,للبيع فقط,١,4+1,دفع أمامي,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,670.0,500.0,1170.0,,,
فيراني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,190000,نقدا فقط,للبيع أو التبديل,4,4+1,دفع أمامي,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,935.0,1000.0,1935.0,كيا سيراتو,موديل سنة 2016,77000.0
أزرق سماوي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1000,52000,نقدا فقط,للبيع فقط,1,4+1,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1340.0,1000.0,2340.0,سكودا اوكتافيا,موديل سنة 2008,42000.0
أبيض,ديزل,تجاري,فلسطينية,عادي,الكتروني,2500,25000,نقدا فقط,للبيع فقط,5,6+١,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1340.0,1000.0,2340.0,اوبل استرا,موديل سنة 1999,24000.0
زيتي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,1234,نقدا فقط,للبيع فقط,٣,4+1,,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1340.0,1400.0,2740.0,سكودا يتي,موديل سنة 2017,112000.0
أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,45000,نقدا فقط,للبيع فقط,,4+1,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1340.0,1000.0,2340.0,تويوتا هيلاكس,موديل سنة 1996,65000.0
أبيض عاجي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1200,31000,نقدا فقط,للبيع فقط,يد اولى,4+1,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1340.0,1000.0,2340.0,سكودا اوكتافيا,موديل سنة 2012,13000.0
رصاصي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,65000,نقدا فقط,للبيع فقط,,,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1340.0,1000.0,2340.0,هونداي اكسنت,موديل سنة 1998,25500.0
أبيض,ديزل,تجاري,فلسطينية,عادي,الكتروني,2000,35000,نقدا فقط,للبيع فقط,لا شيء,2+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,670.0,500.0,1170.0,سيت ليون,موديل سنة 2014,65000.0
أبيض,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1000,,نقدا فقط,للبيع فقط,يد اولى,4+1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1340.0,1000.0,2340.0,ستروين بيرلينجو,موديل سنة 2015,77999.0
سكني,ديزل,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,3001111,نقدا فقط,للبيع فقط,4,4+1,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1340.0,1000.0,2340.0,مرسيدس 412,موديل سنة 1996,57000.0
أبيض,ديزل,عمومي,فلسطينية,عادي,الكتروني,1900,500000,نقدا فقط,للبيع فقط,1,4+1,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1340.0,1558.0,2898.0,فولكسفاجن ترانسبورتر,موديل سنة 1997,20000.0
رمادي,ديزل,خصوصي,فلسطينية,عادي,الكتروني,1600,119000,نقدا فقط,للبيع فقط,1,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1340.0,1751.0,3090.0,اوبل كاديت,موديل سنة 1983,6500.0
خمري,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,100000,نقدا فقط,للبيع فقط,يد اولى,4+1,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1035.0,1000.0,2035.0,سكودا اوكتافيا,موديل سنة 2019,148000.0
خمري,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,80,نقدا فقط,للبيع فقط,1,4+1,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1340.0,1000.0,2340.0,سكودا اوكتافيا,موديل سنة 2008,50000.0
فيراني,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2000,,إمكانية التقسيط,للبيع فقط,يد ٣,6+1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1340.0,1000.0,2340.0,سكودا 2019,موديل سنة 2019,115000.0
أبيض,بنزين,خصوصي,نمرة صفراء,عادي,الكتروني,1600,195000,نقدا فقط,للبيع فقط,1,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1340.0,1000.0,2340.0,هونداي الانترا,موديل سنة 1999,20000.0
أسود,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,2000,160000,نقدا فقط,للبيع أو التبديل,1,4+1,دفع أمامي,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1035.0,1000.0,2035.0,كيا برايد,موديل سنة 2014,65000.0
رصاصي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1800,,نقدا فقط,للبيع فقط,,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1340.0,1401.0,2740.0,مرسيدس 220,موديل سنة 1986,32000.0
