لون السيارة,نوع الوقود,أصل السيارة,رخصة السيارة,نوع الجير,الزجاج,قوة الماتور,عداد السيارة,وسيلة الدفع,معروضة,أصحاب سابقون,عدد الركاب,الدفع,air_conditioner,central_closing,alarm_devise,CD_recorder,leather_upholstery,air_cushion,magnesium_rims,sunroof,التكميلي (جسم المركبة),طرف ثالث,المجموع,name_car,model_car,price_car
أزرق,بنزين,حكومي,فلسطينية,اوتوماتيك,الكتروني,2000,,نقدا فقط,للبيع فقط,,4+1,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1340.0,1000.0,2340.0,هونداي توسان,موديل سنة 2017,86000.0
عدة الوان,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1600,,نقدا فقط,للبيع فقط,,4+1,دفع أمامي,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1340.0,1000.0,2340.0,سوبارو عريض,موديل سنة 1986,19000.0
فضي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,58,نقدا فقط,للبيع فقط,يد اولى,,دفع أمامي,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1035.0,1000.0,2035.0,سيت ليون,موديل سنة 2017,68000.0
فضي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1600,١٢٧٠٠٠,إمكانية التقسيط,للبيع أو التبديل,يد ثانيه,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1340.0,1016.0,2355.0,سيت قرطبة,موديل سنة 2008,42000.0
أسود,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,,إمكانية التقسيط,للبيع أو التبديل,,4+1,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1035.0,1663.0,2698.0,فورد فوكس,موديل سنة 2009,39000.0
أزرق,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,30000,نقدا فقط,للبيع فقط,يد اولى,4+1,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1035.0,1751.0,2785.0,سيت ابيزا,موديل سنة 2010,45000.0
سكني,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,70000,إمكانية التقسيط,للبيع فقط,٢,4+1,دفع أمامي,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1035.0,1050.0,2085.0,,,
أبيض,ديزل,خصوصي,فلسطينية,عادي,الكتروني,2800,١٥٠٠٠,إمكانية التقسيط,للبيع أو التبديل,يد ثانيه,1+2,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1690.0,4026.0,5715.0,هونداي اكسنت,موديل سنة 2014,56000.0
بترولي,بنزين,خصوصي,فلسطينية,اوتوماتيك,الكتروني,1400,4700,إمكانية التقسيط,للبيع فقط,,4+1,دفع أمامي,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1035.0,1190.0,2225.0,فولكسفاجن كادي,موديل سنة 2011,58000.0
رمادي,بنزين,خصوصي,فلسطينية,عادي,الكتروني,1400,,نقدا فقط,للبيع فقط,يد اولى,4+1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1035.0,1000.0,2035.0,فولكسفاجن جولف,موديل سنة 2011,95000.0
